customer_id,FICO scores,loansoutstanding,loanamount,income,employmentlength,,default,credit_lines_outstanding
8153374,605,5221.545193,3915.471226,78039.38546,5,,0,0
7442532,572,1958.928726,8228.75252,26648.43525,2,,1,5
2256073,602,3363.009259,2027.83085,65866.71246,4,,0,0
4885975,612,4766.648001,2501.730397,74356.88347,5,,0,0
4700614,631,1345.827718,1768.826187,23448.32631,6,,0,1
4661159,697,5376.886873,7189.121298,85529.84591,2,,0,0
8291909,722,3634.057471,7085.980095,68691.57707,6,,0,1
4616950,545,3302.172238,13067.57021,50352.16821,3,,1,4
3395789,676,2938.325123,1918.404472,53497.37754,4,,0,0
4045948,447,5396.366774,5298.824524,92349.55399,2,,0,0
1946105,640,4224.542337,18858.28272,76975.03318,7,,1,5
7026356,636,5470.06369,10357.63606,98688.26823,5,,0,1
3555143,527,3440.842174,7009.017521,49413.51814,3,,0,1
1852525,638,4799.604414,7321.171391,81534.51708,5,,0,1
2436643,616,2909.447925,2713.013317,62340.39145,2,,0,0
1089094,644,3281.568882,6447.096241,63042.43756,3,,0,0
2618670,606,5579.715349,1755.76098,83490.03355,3,,0,0
4841253,727,4407.471929,8331.603288,54527.70813,3,,0,1
4522930,627,2761.049506,16620.80342,52428.52206,4,,1,5
2999053,581,4461.847138,6965.056642,98149.74308,6,,0,0
2723215,667,3477.433899,8389.081942,70760.64317,8,,0,2
1467134,480,2608.798997,11177.43742,39682.19883,1,,1,4
4754857,677,5138.918794,11566.29898,101268.5826,5,,0,1
4039149,726,4199.164596,9607.021343,62160.28338,6,,0,2
8521446,596,3334.584216,2992.09521,68928.27308,5,,0,0
1279600,605,3079.55134,4606.951938,54592.43358,7,,0,1
7269476,636,3040.960977,4404.918315,47012.43037,2,,0,0
2289318,642,2212.887987,610.7649879,42642.15937,4,,0,0
6552907,596,3285.841537,4459.926443,66382.17214,4,,0,0
8753437,667,3258.508608,3982.097842,72023.81125,2,,0,0
4320547,580,3438.165737,6899.967887,95771.69288,7,,0,1
5451200,697,4929.427201,10002.59086,65532.66639,4,,0,2
6325220,542,3507.902474,19990.89793,69486.70311,4,,1,5
6037431,668,5527.944216,14795.18286,78210.76357,4,,0,3
3258404,787,3044.751919,4972.39513,53714.70992,6,,0,1
4529904,673,2979.485594,5964.402963,60680.19975,4,,0,0
4756862,609,1598.115491,2106.924814,26071.77675,4,,0,0
2671353,541,5691.710738,25802.3152,85075.45006,4,,1,5
8919468,560,6122.534809,3308.52031,86757.74902,4,,0,0
7240623,607,4296.127286,22541.026,74379.07589,2,,1,5
7096072,631,5713.466421,9572.714973,89956.31788,5,,0,1
6645305,746,3196.367779,12285.43342,92085.61348,7,,0,2
8551890,530,5044.106619,5378.621481,91383.46571,4,,0,0
